序号,编码,词条,分类,候选排序
718,"qycz","妾","单字码表","11571"
719,"qygf","瘸","单字码表","11568"
720,"qymc","凄","单字码表","11563"
721,"qztl","铅","单字码表","11545"
722,"qzyt","锵","单字码表","11544"
723,"rbcl","茹","单字码表","14033"
724,"rbkj","缛","单字码表","14026"
725,"rbkl","若","单字码表","14025"
726,"rbmk","绕","单字码表","14022"
727,"rbmk","荛","单字码表","14020"
728,"rbqz","纴","单字码表","14015"
729,"rcyl","瀼","单字码表","13998"
730,"rfbk","偌","单字码表","13994"
731,"rgbx","嵘","单字码表","13988"
732,"rmht","阮","单字码表","13967"
733,"rpyl","禳","单字码表","13952"
734,"rtmk","饶","单字码表","13942"
735,"rzcl","铷","单字码表","13925"
736,"sbcl","绍","单字码表","8983"
737,"sblg","绳","单字码表","8965"
738,"sbmy","萨","单字码表","8963"
739,"sbrc","绥","单字码表","8959"
740,"sbsj","莳","单字码表","8956"
741,"sbtv","芍","单字码表","8955"
742,"sbwv","虱","单字码表","8949"
743,"scdc","沙","单字码表","8938"
744,"scgx","汕","单字码表","8935"
745,"scjj","澍","单字码表","8931"
746,"scjv","滠","单字码表","8927"
747,"scjz","洒","单字码表","8926"
748,"scns","涮","单字码表","8921"
749,"scog","婶","单字码表","8920"
750,"scpx","深","单字码表","8916"
751,"sctg","鲨","单字码表","8912"
752,"sctv","妁","单字码表","8911"
753,"sctz","鲨","单字码表","8910"
754,"scwv","嫂","单字码表","8901"
755,"scys","嬗","单字码表","8895"
756,"sdfd","腧","单字码表","8892"
757,"sdgx","胂","单字码表","8888"
758,"sdgz","省","单字码表","8887"
759,"sdjx","师","单字码表","8884"
760,"sdlx","臊","单字码表","8882"
761,"sdqz","胜","单字码表","8881"
762,"sdrx","脎","单字码表","8880"
763,"sdys","膻","单字码表","8878"
764,"sefd","艄","单字码表","8876"
765,"sfhl","舍","单字码表","8866"
766,"sfj","隼","单字码表","8860"
767,"sfjv","使","单字码表","8858"
768,"sfjz","耸","单字码表","8856"
769,"sfpv","食","单字码表","8850"
770,"sftk","倏","单字码表","8845"
771,"sfyv","裳","单字码表","8839"
772,"sgdj","蛳","单字码表","8838"
773,"sgjo","赎","单字码表","8832"
774,"sgpv","思","单字码表","8826"
775,"sgt","兕","单字码表","8822"
776,"sgtv","岁","单字码表","8820"
777,"sgv","墅","单字码表","8816"
778,"sgwv","瞍","单字码表","8813"
779,"sgx","申","单字码表","8810"
780,"shbd","素","单字码表","8805"
781,"shgz","耜","单字码表","8802"
782,"sil","兽","单字码表","8791"
783,"sim","鄯","单字码表","8790"
784,"simk","烧","单字码表","8789"
785,"sipv","愬","单字码表","8785"
786,"sipv","煽","单字码表","8788"
787,"sipv","送","单字码表","8787"
788,"siqv","数","单字码表","8784"
789,"sitv","烁","单字码表","8783"
790,"sjgf","贳","单字码表","8769"
791,"sjmc","声","单字码表","8766"
792,"sjqv","散","单字码表","8763"
793,"sjtz","","单字码表","8760"
794,"sjv","丧","单字码表","8759"
795,"skgz","盛","单字码表","8748"
796,"skkg","硕","单字码表","8745"
797,"skmx","厍","单字码表","8741"
798,"skqv","殊","单字码表","8739"
799,"skrr","爽","单字码表","8738"
800,"skv","豕","单字码表","8735"
801,"slnl","嗣","单字码表","8716"
802,"slqj","噬","单字码表","8712"
803,"slsj","嗮","单字码表","8711"
804,"slyc","霎","单字码表","8703"
805,"smdv","孙","单字码表","8701"
806,"smfd","输","单字码表","8700"
807,"smqv","收","单字码表","8692"
808,"sojv","守","单字码表","8673"
809,"sojv","慑","单字码表","8674"
810,"spgx","神","单字码表","8657"
811,"spig","谥","单字码表","8655"
812,"sptv","设","单字码表","8647"
813,"sqfd","稍","单字码表","8639"
814,"sqjp","穗","单字码表","8631"
815,"sqqz","牲","单字码表","8624"
816,"sqtb","舐","单字码表","8621"
817,"sqv","矢","单字码表","8618"
818,"sqv","私","单字码表","8617"
819,"srkg","颂","单字码表","8613"
820,"ssjv","时","单字码表","8602"
821,"stb","甩","单字码表","8593"
822,"stdj","狮","单字码表","8591"
823,"stqv","稣","单字码表","8575"
824,"stv","殳","单字码表","8570"
825,"stwv","馊","单字码表","8567"
826,"sulg","损","单字码表","8552"
827,"suvv","","单字码表","8546"
828,"suvx","抒","单字码表","8545"
829,"suyb","摔","单字码表","8542"
830,"sv","厶","单字码表","8537"
831,"svyg","墒","单字码表","8520"
832,"swjv","射","单字码表","8518"
833,"sxxx","森","单字码表","8497"
834,"sycv","孰","单字码表","8492"
835,"sygx","市","单字码表","8489"
836,"syoo","熟","单字码表","8486"
837,"syqm","施","单字码表","8484"
838,"syxr","凇","单字码表","8476"
839,"szpv","","单字码表","8472"
840,"tbmv","薹","单字码表","12057"
841,"tbv","彖","单字码表","12048"
842,"tbvl","苔","单字码表","12047"
843,"tdit","","单字码表","12010"
844,"tdkv","豚","单字码表","12008"
845,"tetz","","单字码表","12003"
846,"tfjz","仝","单字码表","11994"
847,"tflx","棠","单字码表","11992"
848,"tftv","倜","单字码表","11986"
849,"tfyj","停","单字码表","11982"
850,"tgal","贴","单字码表","11980"
851,"tgj","町","单字码表","11974"
852,"tgjc","团","单字码表","11973"
853,"tgqv","蜓","单字码表","11970"
854,"tgtv","蜩","单字码表","11967"
855,"tgyg","瞳","单字码表","11966"
856,"thfg","耥","单字码表","11960"
857,"tkfp","餮","单字码表","11928"
858,"tljg","嚏","单字码表","11915"
859,"tltq","啕","单字码表","11907"
860,"tlv","吐","单字码表","11904"
861,"tlyg","啼","单字码表","11900"
862,"tmpv","忒","单字码表","11896"
863,"tokv","突","单字码表","11884"
864,"tost","惕","单字码表","11880"
865,"tpst","裼","单字码表","11871"
866,"tqjz","甜","单字码表","11859"
867,"tqkg","颓","单字码表","11858"
868,"trcz","妥","单字码表","11850"
869,"ttot","鸵","单字码表","11834"
870,"tufy","推","单字码表","11826"
871,"tukp","闼","单字码表","11820"
872,"tuqv","挺","单字码表","11816"
873,"tusj","提","单字码表","11813"
874,"tutv","投","单字码表","11810"
875,"tvpv","通","单字码表","11796"
876,"tvtv","堍","单字码表","11793"
877,"txyg","檀","单字码表","11776"
878,"tyqv","庭","单字码表","11768"
879,"tyto","疼","单字码表","11767"
880,"tzgz","铜","单字码表","11761"
881,"tzqv","铤","单字码表","11753"
882,"tzsz","钽","单字码表","11752"
883,"wbcv","芄","单字码表","12487"
884,"wbhx","纬","单字码表","12480"
885,"wbtv","纨","单字码表","12470"
886,"wchb","污","单字码表","12462"
887,"wclg","涡","单字码表","12456"
888,"wcvv","娃","单字码表","12447"
889,"wdsg","腽","单字码表","12440"
890,"wenq","艉","单字码表","12438"
891,"wfjz","伍","单字码表","12432"
892,"wghx","围","单字码表","12420"
893,"wglg","蜗","单字码表","12415"
894,"wgot","蜿","单字码表","12410"
895,"wgz","囗","单字码表","12403"
896,"whaz","武","单字码表","12402"
897,"wjl","軎","单字码表","12377"
898,"wktb","硊","单字码表","12366"
899,"wlhv","吴","单字码表","12360"
900,"wllg","","单字码表","12358"
901,"wlqc","唩","单字码表","12354"
902,"wltc","吻","单字码表","12351"
903,"wmkb","阢","单字码表","12342"
904,"wqpv","迕","单字码表","12312"
905,"wqpv","逶","单字码表","12311"
906,"wtc","勿","单字码表","12294"
907,"wvtz","坞","单字码表","12268"
908,"wyhb","庑","单字码表","12252"
909,"wysg","瘟","单字码表","12246"
910,"xbc","荥","单字码表","10525"
911,"xbjb","绁","单字码表","10515"
912,"xbjo","续","单字码表","10513"
913,"xbjs","蕈","单字码表","10511"
914,"xbpv","芯","单字码表","10501"
915,"xbts","绚","单字码表","10493"
916,"xbxg","葙","单字码表","10487"
917,"xcfd","消","单字码表","10478"
918,"xcjx","渫","单字码表","10470"
919,"xckp","","单字码表","10469"
920,"xcqz","姓","单字码表","10462"
921,"xcrk","浠","单字码表","10459"
922,"xdcv","胁","单字码表","10446"
923,"xdsq","腥","单字码表","10444"
924,"xdxf","膝","单字码表","10440"
925,"xfpv","逍","单字码表","10420"
926,"xfte","修","单字码表","10417"
927,"xftv","像","单字码表","10415"
928,"xgbn","蟏","单字码表","10409"
929,"xggt","蚬","单字码表","10406"
930,"xgyv","眩","单字码表","10387"
931,"xhgt","现","单字码表","10385"
932,"xhyq","璇","单字码表","10372"
933,"ximz","羞","单字码表","10365"
934,"xirk","烯","单字码表","10361"
935,"xjcv","协","单字码表","10351"
936,"xjft","靴","单字码表","10350"
937,"xjji","囍","单字码表","10346"
938,"xjjl","囍","单字码表","10345"
939,"xjkg","项","单字码表","10344"
940,"xjmz","孝","单字码表","10341"
941,"xjs","昔","单字码表","10334"
942,"xjyg","醯","单字码表","10329"
943,"xktv","夏","单字码表","10317"
944,"xkz","戌","单字码表","10313"
945,"xlas","嘘","单字码表","10310"
946,"xlc","勋","单字码表","10309"
947,"xljz","咁","单字码表","10297"
948,"xlyv","躞","单字码表","10279"
949,"xmd","胥","单字码表","10278"
950,"xnpv","迅","单字码表","10259"
951,"xosq","惺","单字码表","10243"
952,"xpex","","单字码表","10232"
953,"xpix","详","单字码表","10225"
954,"xpmz","写","单字码表","10222"
955,"xprh","谖","单字码表","10219"
956,"xqar","罅","单字码表","10213"
957,"xqqv","笑","单字码表","10202"
958,"xqxg","箱","单字码表","10198"
959,"xrm","兮","单字码表","10193"
960,"xsgf","贤","单字码表","10186"
961,"xstf","歇","单字码表","10173"
962,"xtgv","蟹","单字码表","10167"
963,"xts","旭","单字码表","10153"
964,"xtwl","饷","单字码表","10144"
965,"xwfd","魈","单字码表","10122"
966,"xxgx","柙","单字码表","10112"
967,"xxgz","相","单字码表","10111"
968,"xxlm","枵","单字码表","10107"
969,"xxmk","械","单字码表","10105"
970,"xxnf","榍","单字码表","10103"
971,"xxtv","橡","单字码表","10098"
972,"xyfx","庥","单字码表","10089"
973,"xylm","享","单字码表","10083"
974,"xyv","燮","单字码表","10073"
975,"xzst","锡","单字码表","10064"
976,"xzyl","镶","单字码表","10062"
977,"yaqv","","单字码表","9402"
978,"yb","乙","单字码表","9401"
979,"ybgv","英","单字码表","9389"
980,"ybhv","芸","单字码表","9385"
981,"ybhv","莹","单字码表","9386"
982,"ybhx","纡","单字码表","9382"
983,"ybv","幺","单字码表","9364"
984,"ybvh","绎","单字码表","9362"
985,"ybyp","薏","单字码表","9357"
986,"ycbb","潆","单字码表","9354"
987,"ycbb","胤","单字码表","9355"
988,"ycgk","洇","单字码表","9344"
989,"ycgz","油","单字码表","9341"
990,"ycht","沅","单字码表","9340"
991,"yclm","浥","单字码表","9327"
992,"ycmz","孕","单字码表","9324"
993,"ycqv","妖","单字码表","9321"
994,"ycyf","液","单字码表","9308"
995,"ycyl","瀛","单字码表","9306"
996,"ycyq","游","单字码表","9305"
997,"yeqm","御","单字码表","9286"
998,"yetv","殷","单字码表","9283"
999,"yfjc","俨","单字码表","9276"
1000,"yfpv","悠","单字码表","9265"
1001,"yfpv","愈","单字码表","9263"
1002,"yfqv","佚","单字码表","9260"
1003,"yfyv","依","单字码表","9252"
1004,"ygbb","幽","单字码表","9251"
1005,"ygbc","蚴","单字码表","9250"
1006,"ygfd","嵛","单字码表","9246"
1007,"ygkg","崦","单字码表","9235"
1008,"ygkg","罨","单字码表","9234"
1009,"ygkv","因","单字码表","9231"
1010,"ygkv","睚","单字码表","9230"
1011,"yglg","圆","单字码表","9227"
1012,"ygmc","岈","单字码表","9224"
1013,"ygnv","眼","单字码表","9221"
1014,"ygpv","遇","单字码表","9217"
1015,"ygpv","遗","单字码表","9219"
1016,"ygst","蜴","单字码表","9213"
1017,"ygtz","鸭","单字码表","9210"
1018,"ygtz","鸯","单字码表","9209"
1019,"ygv","禺","单字码表","9206"
1020,"ygvl","眙","单字码表","9200"
1021,"yhmm","琊","单字码表","9185"
1022,"yhpv","运","单字码表","9180"
1023,"yhpv","远","单字码表","9181"
1024,"yhv","云","单字码表","9172"
1025,"yis","剡","单字码表","9159"
1026,"yix","丫","单字码表","9148"
1027,"yjcz","要","单字码表","9145"
1028,"yjjc","酽","单字码表","9142"
1029,"yjm","鄢","单字码表","9138"
1030,"yjz","酉","单字码表","9129"
1031,"ykgf","页","单字码表","9122"
1032,"ykgx","厣","单字码表","9117"
1033,"ykhv","","单字码表","9116"
1034,"ykjv","硬","单字码表","9114"
1035,"ykjz","殪","单字码表","9113"
1036,"ykkv","厌","单字码表","9112"
1037,"ykv","尤","单字码表","9105"
1038,"yld","跀","单字码表","9094"
1039,"ylgv","喁","单字码表","9086"
1040,"yljz","噎","单字码表","9077"
1041,"ylm","郢","单字码表","9074"
1042,"ylqv","跃","单字码表","9068"
1043,"ymb","轧","单字码表","9059"
1044,"ymfy","雅","单字码表","9055"
1045,"ymgv","隅","单字码表","9054"
1046,"ymlg","陨","单字码表","9051"
1047,"ymqv","医","单字码表","9046"
1048,"ymtp","隐","单字码表","9042"
1049,"ymtz","鸢","单字码表","9040"
1050,"ymtz","鹥","单字码表","9039"
1051,"ymv","弋","单字码表","9037"
1052,"ynx","聿","单字码表","9026"
1053,"yofd","愉","单字码表","9021"
1054,"yogv","寓","单字码表","9019"
1055,"yogz","宜","单字码表","9017"
1056,"yoyh","誉","单字码表","9001"
1057,"ypm","郓","单字码表","8991"
1058,"yrtz","鹞","单字码表","8948"
1059,"ys","曰","单字码表","8946"
1060,"ysm","邺","单字码表","8942"
1061,"ysyz","昱","单字码表","8934"
1062,"ytcc","飏","单字码表","8932"
1063,"ytfh","馀","单字码表","8930"
1064,"ytgz","鱼","单字码表","8929"
1065,"ytkg","颍","单字码表","8925"
1066,"ytkv","犹","单字码表","8924"
1067,"ytpv","迎","单字码表","8915"
1068,"ytpv","逸","单字码表","8916"
1069,"ytqv","饫","单字码表","8913"
1070,"yttf","饮","单字码表","8911"
1071,"ytvl","饴","单字码表","8908"
1072,"ytyh","狺","单字码表","8903"
1073,"yugc","撄","单字码表","8897"
1074,"yuhz","闫","单字码表","8895"
1075,"yukg","掩","单字码表","8891"
1076,"yuyf","掖","单字码表","8881"
1077,"yvlt","袁","单字码表","8865"
1078,"yvnv","垠","单字码表","8860"
1079,"yvqv","矣","单字码表","8857"
1080,"yvyz","翌","单字码表","8847"
1081,"yvzs","垣","单字码表","8846"
1082,"ywv","臾","单字码表","8835"
1083,"yxbb","橼","单字码表","8834"
1084,"yxcc","杨","单字码表","8833"
1085,"yybf","雍","单字码表","8815"
1086,"yycc","疡","单字码表","8814"
1087,"yyd","膺","单字码表","8812"
1088,"yydg","赢","单字码表","8810"
1089,"yyhl","言","单字码表","8803"
1090,"yyjz","痖","单字码表","8801"
1091,"yykv","疣","单字码表","8798"
1092,"yyld","赢","单字码表","8795"
1093,"yyqk","旖","单字码表","8788"
1094,"yytv","毅","单字码表","8785"
1095,"yyv","亦","单字码表","8780"
1096,"yywv","庾","单字码表","8775"
1097,"yyys","瘖","单字码表","8771"
1098,"yzgz","铀","单字码表","8766"
1099,"zagf","胔","单字码表","9030"
1100,"zagf","贞","单字码表","9032"
1101,"zakl","砦","单字码表","9029"
1102,"zasj","卓","单字码表","9026"
1103,"zasx","桌","单字码表","9025"
1104,"zbfy","骓","单字码表","9015"
1105,"zbgz","组","单字码表","9014"
1106,"zbgz","驵","单字码表","9013"
1107,"zbsj","蕞","单字码表","8993"
1108,"zbtn","驺","单字码表","8991"
1109,"zcbg","淄","单字码表","8981"
1110,"zchg","渍","单字码表","8977"
1111,"zcys","嫜","单字码表","8952"
1112,"zdgx","肿","单字码表","8949"
1113,"zdhv","","单字码表","8948"
1114,"zdjv","肢","单字码表","8946"
1115,"zegq","徵","单字码表","8934"
1116,"zev","爪","单字码表","8925"
1117,"zfff","众","单字码表","8922"
1118,"zfgx","仲","单字码表","8921"
1119,"zfqv","侏","单字码表","8907"
1120,"zfqz","作","单字码表","8906"
1121,"zftn","","单字码表","8903"
1122,"zfyz","住","单字码表","8899"
1123,"zghg","帻","单字码表","8887"
1124,"zgis","赠","单字码表","8884"
1125,"zgkh","赈","单字码表","8879"
1126,"zgmk","贼","单字码表","8876"
1127,"zgqv","帙","单字码表","8867"
1128,"zgqv","蛛","单字码表","8868"
1129,"zgqv","账","单字码表","8869"
1130,"zgqz","蚱","单字码表","8866"
1131,"zgtn","睁","单字码表","8863"
1132,"zgys","幛","单字码表","8856"
1133,"zgys","蟑","单字码表","8854"
1134,"zgyv","赃","单字码表","8853"
1135,"zhgf","责","单字码表","8850"
1136,"zhmz","耔","单字码表","8845"
1137,"zhys","璋","单字码表","8841"
1138,"zibb","兹","单字码表","8839"
1139,"zijs","糟","单字码表","8836"
1140,"zimz","孳","单字码表","8830"
1141,"zipv","总","单字码表","8828"
1142,"zjjz","整","单字码表","8814"
1143,"zjl","哉","单字码表","8813"
1144,"zjm","鄹","单字码表","8811"
1145,"zjmz","载","单字码表","8809"
1146,"zjpv","志","单字码表","8803"
1147,"zjqv","政","单字码表","8802"
1148,"zjtv","酌","单字码表","8798"
1149,"zkhv","砖","单字码表","8787"
1150,"zkjz","左","单字码表","8785"
1151,"zkmg","砸","单字码表","8784"
1152,"zlaj","啅","单字码表","8776"
1153,"zlat","呲","单字码表","8773"
1154,"zlgt","躅","单字码表","8768"
1155,"zllx","噪","单字码表","8756"
1156,"zlmh","啭","单字码表","8754"
1157,"zlqz","咋","单字码表","8748"
1158,"zlsj","嘬","单字码表","8745"
1159,"zlwm","唣","单字码表","8739"
1160,"zlwz","咱","单字码表","8738"
1161,"zlxs","喳","单字码表","8737"
1162,"zlyo","嗻","单字码表","8736"
1163,"zmgz","阻","单字码表","8726"
1164,"zmjb","辄","单字码表","8722"
1165,"zmlr","轵","单字码表","8719"
1166,"zmm","郅","单字码表","8718"
1167,"zmqv","致","单字码表","8711"
1168,"zmv","坠","单字码表","8706"
1169,"zmys","障","单字码表","8704"
1170,"znsz","昼","单字码表","8696"
1171,"zomb","窀","单字码表","8687"
1172,"zoqz","窄","单字码表","8682"
1173,"zotn","","单字码表","8680"
1174,"zpgz","祖","单字码表","8673"
1175,"zpkv","冢","单字码表","8665"
1176,"zpms","谮","单字码表","8662"
1177,"zpqz","诈","单字码表","8659"
1178,"zptn","诌","单字码表","8657"
1179,"zpyl","谆","单字码表","8649"
1180,"zqfy","稚","单字码表","8643"
1181,"zqjt","筑","单字码表","8632"
1182,"zqpv","迮","单字码表","8625"
1183,"zqpv","造","单字码表","8627"
1184,"zqtc","秭","单字码表","8619"
1185,"ztbg","鲻","单字码表","8598"
1186,"ztgg","螽","单字码表","8596"
1187,"zts","昝","单字码表","8584"
1188,"ztx","橥","单字码表","8580"
1189,"ztyh","詹","单字码表","8579"
1190,"zugv","蛰","单字码表","8567"
1191,"zugx","闸","单字码表","8565"
1192,"zuhh","揍","单字码表","8564"
1193,"zunj","搌","单字码表","8554"
1194,"zunj","撰","单字码表","8555"
1195,"zuqg","攒","单字码表","8550"
1196,"zuyg","摘","单字码表","8538"
1197,"zvgv","蚤","单字码表","8530"
1198,"zvyt","趑","单字码表","8523"
1199,"zxjg","植","单字码表","8509"
1200,"zxxs","楂","单字码表","8494"
1201,"zycz","姿","单字码表","8487"
1202,"zyff","疭","单字码表","8483"
1203,"zyfy","准","单字码表","8480"
1204,"zygf","资","单字码表","8479"
1205,"zyjz","症","单字码表","8474"
1206,"zykv","状","单字码表","8472"
1207,"zypv","戆","单字码表","8464"
1208,"zypv","这","单字码表","8466"
1209,"zypv","遮","单字码表","8467"
1210,"zyqq","族","单字码表","8463"
1211,"zysj","章","单字码表","8460"
1212,"zyyv","装","单字码表","8454"
1213,"zyyz","麈","单字码表","8452"
1214,"zzyq","镞","单字码表","8432"
